category1,category2,category3,category4,year,amount,processed
전국,합계,소계,소계,2020,17303386.4,9762502.9
전국,합계,소계,소계,2021,16751314.6,9156504.0
전국,합계,소계,소계,2022,16754167.7,9531272.8
전국,종량제방식 등 혼합배출,소계,소계,2020,8041965.2,900093.2
전국,종량제방식 등 혼합배출,소계,소계,2021,8147806.3,896600.7
전국,종량제방식 등 혼합배출,소계,소계,2022,8259406.6,1345621.0
전국,종량제방식 등 혼합배출,가연성,소계,2020,6929046.9,823543.8
전국,종량제방식 등 혼합배출,가연성,소계,2021,6927858.2,813666.5
전국,종량제방식 등 혼합배출,가연성,소계,2022,6976814.1,1090499.7
전국,재활용 가능자원 분리배출,소계,소계,2020,4591042.2,4306252.5
전국,재활용 가능자원 분리배출,소계,소계,2021,4127950.4,3923303.4
전국,재활용 가능자원 분리배출,소계,소계,2022,3937195.2,3741944.6
전국,재활용 가능자원 분리배출,폐지류,종이팩,2020,56003.2,56003.2
전국,재활용 가능자원 분리배출,폐지류,종이팩,2021,16534.5,16534.5
전국,재활용 가능자원 분리배출,폐지류,종이팩,2022,16550.9,16550.9
전국,재활용 가능자원 분리배출,폐지류,기타,2020,1336800.9,1336800.9
전국,재활용 가능자원 분리배출,폐지류,기타,2021,1245134.8,1245134.8
전국,재활용 가능자원 분리배출,폐지류,기타,2022,1170581.7,1170581.7
전국,재활용 가능자원 분리배출,고철류,소계,2020,265888.3,265888.3
전국,재활용 가능자원 분리배출,고철류,소계,2021,146660.1,146660.1
전국,재활용 가능자원 분리배출,고철류,소계,2022,135148.4,135148.4
전국,재활용 가능자원 분리배출,금속캔,소계,2020,133279.8,133279.8
전국,재활용 가능자원 분리배출,금속캔,소계,2021,92120.9,92120.9
전국,재활용 가능자원 분리배출,금속캔,소계,2022,84163.3,84163.3
전국,재활용 가능자원 분리배출,폐합성수지류,비닐류,2020,446161.1,446161.1
전국,재활용 가능자원 분리배출,폐합성수지류,비닐류,2021,439615.7,439615.7
전국,재활용 가능자원 분리배출,폐합성수지류,비닐류,2022,414867.8,414543.9
전국,재활용 가능자원 분리배출,폐합성수지류,발포수지류,2020,74814.9,74814.9
전국,재활용 가능자원 분리배출,폐합성수지류,발포수지류,2021,62222.9,62222.9
전국,재활용 가능자원 분리배출,폐합성수지류,발포수지류,2022,65730.0,65730.0
전국,재활용 가능자원 분리배출,폐합성수지류,PET병,2020,219142.9,219142.9
전국,재활용 가능자원 분리배출,폐합성수지류,PET병,2021,185719.0,185719.0
전국,재활용 가능자원 분리배출,폐합성수지류,PET병,2022,181327.8,181327.8
전국,재활용 가능자원 분리배출,폐합성수지류,기타,2020,418641.9,418641.9
전국,재활용 가능자원 분리배출,폐합성수지류,기타,2021,471651.9,471651.9
전국,재활용 가능자원 분리배출,폐합성수지류,기타,2022,477490.5,477490.5
전국,재활용 가능자원 분리배출,폐고무류,소계,2020,9404.2,9404.2
전국,재활용 가능자원 분리배출,폐고무류,소계,2021,6282.1,6282.1
전국,재활용 가능자원 분리배출,폐고무류,소계,2022,520.2,515.2
전국,재활용 가능자원 분리배출,폐유리병류,소계,2020,291541.4,291541.4
전국,재활용 가능자원 분리배출,폐유리병류,소계,2021,282434.9,282434.9
전국,재활용 가능자원 분리배출,폐유리병류,소계,2022,279741.4,279741.4
전국,재활용 가능자원 분리배출,폐의류,소계,2020,82422.7,82422.7
전국,재활용 가능자원 분리배출,폐의류,소계,2021,118386.3,118386.3
전국,재활용 가능자원 분리배출,폐의류,소계,2022,106536.3,106536.3
전국,재활용 가능자원 분리배출,폐섬유류,소계,2020,27083.2,27083.2
전국,재활용 가능자원 분리배출,폐섬유류,소계,2021,15655.6,15655.6
전국,재활용 가능자원 분리배출,폐섬유류,소계,2022,12679.9,12679.9
전국,재활용 가능자원 분리배출,조명폐기물,조명폐기물,2020,7420.9,7420.9
전국,재활용 가능자원 분리배출,조명폐기물,조명폐기물,2021,6296.6,6296.6
전국,재활용 가능자원 분리배출,조명폐기물,조명폐기물,2022,5094.5,5085.2
전국,재활용 가능자원 분리배출,폐전지류,소계,2020,42327.2,42327.2
전국,재활용 가능자원 분리배출,폐전지류,소계,2021,4432.8,4432.8
전국,재활용 가능자원 분리배출,폐전지류,소계,2022,4849.8,4832.3
전국,재활용 가능자원 분리배출,영농폐기물,농약용기류,2020,3070.9,3070.9
전국,재활용 가능자원 분리배출,영농폐기물,농약용기류,2021,5194.4,5194.4
전국,재활용 가능자원 분리배출,영농폐기물,농약용기류,2022,4274.9,4272.5
전국,재활용 가능자원 분리배출,영농폐기물,폐비닐,2020,166927.2,166927.2
전국,재활용 가능자원 분리배출,영농폐기물,폐비닐,2021,202424.1,202424.1
전국,재활용 가능자원 분리배출,영농폐기물,폐비닐,2022,203383.3,203383.3
전국,재활용 가능자원 분리배출,폐식용유,소계,2020,2955.1,2955.1
전국,재활용 가능자원 분리배출,폐식용유,소계,2021,3220.3,3220.3
전국,재활용 가능자원 분리배출,폐식용유,소계,2022,1926.7,1926.7
전국,재활용 가능자원 분리배출,폐전기전자제품,소계,2020,74814.2,74814.2
전국,재활용 가능자원 분리배출,폐전기전자제품,소계,2021,85933.3,85933.3
전국,재활용 가능자원 분리배출,폐전기전자제품,소계,2022,157254.8,157254.8
전국,재활용 가능자원 분리배출,폐가구류,소계,2020,153300.4,153300.4
전국,재활용 가능자원 분리배출,폐가구류,소계,2021,111983.7,111983.7
전국,재활용 가능자원 분리배출,폐가구류,소계,2022,61758.2,56900.8
전국,재활용 가능자원 분리배출,기타,소계,2020,134134.0,134134.0
전국,재활용 가능자원 분리배출,기타,소계,2021,66060.0,66059.8
전국,재활용 가능자원 분리배출,기타,소계,2022,56879.8,56666.8
전국,재활용 가능자원 분리배출,재활용 잔재물,소계,2020,644907.8,360118.1
전국,재활용 가능자원 분리배출,재활용 잔재물,소계,2021,559986.5,355339.7
전국,재활용 가능자원 분리배출,재활용 잔재물,소계,2022,496435.0,306612.9
전국,음식물류 폐기물 분리배출,소계,소계,2020,4670379.0,4556157.2
