idx,name,address,latitude,longitude,is_shown_user,input_wastes,devices,display_devices,reg_at,region_1,region_2,image_url
3,업사이클에코센터,"인천광역시 미추홀구 매소홀로290번길 7""",37.4432153,126.6553661,true,"['캔', '투명 페트']",['NCAB1711007'],['NCAB1711007'],2018-02-06 00:24:21,인천광역시,,
4,임오동주민센터,"경상북도 구미시 임은길 61 임오동사무소""",36.0892718,128.3692414,true,"['캔', '투명 페트']",['NCAB1711006'],['NCAB1711006'],2018-02-06 03:16:48,경상북도,,
5,상모사곡동주민센터,"경상북도 구미시 상사서로 199 상모사곡동사무소""",36.099713,128.3578956,true,"['캔', '투명 페트']",['NCAB1711005'],['NCAB1711005'],2018-02-06 03:27:38,경상북도,,
6,형곡시립도서관,"경상북도 구미시 경은로 85 구미시립도서관""",36.1131072,128.3361809,true,"['캔', '투명 페트']",['NCAB1711004'],['NCAB1711004'],2018-02-06 03:28:44,경상북도,,
7,선주원남동주민센터,"경상북도 구미시 봉곡로 42 선주원남동사무소""",36.1425881,128.3101952,true,"['캔', '투명 페트']",['NCAB1711003'],['NCAB1711003'],2018-02-06 03:29:44,경상북도,,
8,봉곡테마공원,"경상북도 구미시 봉곡동""",36.150563,128.3138658,true,"['캔', '투명 페트']",['NCAB1711002'],['NCAB1711002'],2018-02-06 03:30:26,경상북도,,
9,원호민원봉사실,"경상북도 구미시 문장로 182""",36.1496101,128.3310628,true,"['캔', '투명 페트']",['NCAB1711001'],['NCAB1711001'],2018-02-06 03:31:03,경상북도,,
10,휴먼시아아파트,"경상북도 의성군 의성읍 동서1길 114 상리휴먼시아""",36.3501295,128.7082619,true,"['캔', '투명 페트']",['NCAC1803003'],['NCAC1803003'],2018-03-14 06:24:55,경상북도,,
11,의성초등학교,"경상북도 의성군 의성읍 후죽리 530-1""",36.3520845,128.6955267,true,"['캔', '투명 페트']",['NCAC1804002'],['NCAC1804002'],2018-04-19 08:59:25,경상북도,,
13,어름수변공원,"충청남도 당진시 대덕동 1809""",36.884132188163385,126.64256395051478,true,"['캔', '투명 페트']",['NCAB1805003'],['NCAB1805003'],2018-05-29 07:41:25,충청남도,당진시,
18,광진광장,"서울특별시 광진구 군자동 346-42""",37.547941045783645,127.07322996009736,true,"['캔', '투명 페트']","['NCAE1807001', 'SNBI2403031']","['NCAE1807001', 'SNBI2403031']",2018-07-10 02:10:26,서울특별시,광진구,
19,구의3동주민센터,"서울특별시 광진구 강변역로 17 구의3동 복합청사""",37.5380524,127.0920163,true,"['캔', '투명 페트']",['NCAE1807004'],['NCAE1807004'],2018-07-10 02:11:25,서울특별시,,
20,사려니숲길-자판기옆,"제주특별자치도 서귀포시 표선면 가시리 산 158""",33.395096115401486,126.68473845492254,true,['투명 페트'],['NCAE1810001'],['NCAE1810001'],2018-10-02 04:29:27,제주특별자치도,,
22,사려니숲길-화장실옆,"제주특별자치도 서귀포시 표선면 가시리 산 158-4""",33.3951713343846,126.685067629425,true,['투명 페트'],['NCAE1810004'],['NCAE1810004'],2018-10-02 05:00:36,제주특별자치도,,
24,강동구청 성안별관,"서울특별시 강동구 성내로3가길 19""",37.530683282893,127.123965277528,true,"['캔', '투명 페트']",['NCAE1810007'],['NCAE1810007'],2018-10-02 06:53:32,서울특별시,,
25,성일초등학교,"서울특별시 강동구 성내로15길 33 성일스포츠센터 앞""",37.5286373,127.1284635,true,"['캔', '투명 페트']",['NCAE1810008'],['NCAE1810008'],2018-10-02 07:18:13,서울특별시,,
27,해양공원,"전라남도 여수시 종화동 526-7""",34.73879483707378,127.74533819188586,true,"['캔', '투명 페트']","['NCAE1901001', 'NCAE1901010']","['NCAE1901001', 'NCAE1901010']",2019-01-30 03:32:40,전라남도,여수시,
28,이순신광장,"전라남도 여수시 이순신광장로""",34.7392178,127.7362481,true,"['캔', '투명 페트']","['NCAE1901003', 'NCAE1901005']","['NCAE1901003', 'NCAE1901005']",2019-01-30 03:34:02,전라남도,,
29,여수시청,"전라남도 여수시 시청동1길 30""",34.759437,127.6633282,true,"['캔', '투명 페트']",['NCAE1901006'],['NCAE1901006'],2019-01-30 03:36:18,전라남도,,
30,거북선공원,"전라남도 여수시 선소로 93 전기차충전소 뒷편""",34.7617408,127.6676801,true,"['캔', '투명 페트']","['NCAE1901007', 'NCAE1901008']","['NCAE1901007', 'NCAE1901008']",2019-01-30 03:36:55,전라남도,,
37,망우역,"서울특별시 중랑구 상봉동 500-1""",37.59844863797278,127.092379924489,true,"['캔', '투명 페트']","['NCAE1906003', 'NCAE1906004']","['NCAE1906003', 'NCAE1906004']",2019-06-11 02:48:34,서울특별시,중랑구,
39,고양관광정보센터,"경기도 고양시 일산동구 중앙로 1271-1""",37.6594810482606,126.7726919751048,true,"['캔', '투명 페트']","['NCAE1906008', 'NCAE1906009']","['NCAE1906008', 'NCAE1906009']",2019-06-11 02:52:53,경기도,,
40,이수흥공원,"경기도 이천시 창전동""",37.2823774,127.4420097,true,"['캔', '투명 페트']","['NCAE1906010', 'NCAE1906011']","['NCAE1906010', 'NCAE1906011']",2019-06-11 03:38:07,경기도,,
41,상무시민공원,"광주광역시 서구 치평동 1162""",35.153570941986715,126.84218149335008,true,"['캔', '투명 페트']","['NCAE1906012', 'NCAE1906018', 'SNBI2312018']","['NCAE1906012', 'NCAE1906018', 'SNBI2312018']",2019-06-11 03:50:44,광주광역시,서구,
42,동내면사무소,"강원특별자치도 춘천시 동내면 동내로 78""",37.8478551,127.7611148,true,"['캔', '투명 페트']",['NCAE1906013'],['NCAE1906013'],2019-06-11 03:50:58,강원특별자치도,,
43,효자1동주민센터,"강원특별자치도 춘천시 효자상길 9""",37.8721719,127.7275698,true,"['캔', '투명 페트']",['NCAE1906014'],['NCAE1906014'],2019-06-11 03:51:13,강원특별자치도,,
44,춘천시청,"강원특별자치도 춘천시 시청길 11""",37.8805675277616,127.7296109831504,true,"['캔', '투명 페트']",['NCAE1906015'],['NCAE1906015'],2019-06-11 03:51:33,강원특별자치도,춘천시,
45,신사우동주민센터,"강원특별자치도 춘천시 사우4길 28""",37.9059423,127.7278715,true,"['캔', '투명 페트']",['NCAE1906016'],['NCAE1906016'],2019-06-19 02:38:20,강원특별자치도,,
46,약사명동주민센터,"강원특별자치도 춘천시 망대길 9""",37.8765662,127.7248152,true,"['캔', '투명 페트']",['NCAE1906017'],['NCAE1906017'],2019-06-19 02:38:53,강원특별자치도,,
47,낙성대동주민센터,"서울특별시 관악구 낙성대로4가길 5 낙성대동주민센터""",37.4762949,126.9583967,true,"['캔', '투명 페트']",['NCAE1906019'],['NCAE1906019'],2019-06-19 02:39:58,서울특별시,,
48,하나로마트일도점,"제주특별자치도 제주시 남광로 206""",33.503761567786505,126.55268786362696,true,['투명 페트'],"['NCAE1908008', 'NCAG2104026']","['NCAE1908008', 'NCAG2104026']",2019-08-23 07:20:07,제주특별자치도,제주시,
49,관음사 야영장 클린하우스 안,"제주특별자치도 제주시 산록북로 588""",33.421520407832126,126.5496963564078,true,['투명 페트'],"['NCAE1908002', 'NCAE1908005']","['NCAE1908002', 'NCAE1908005']",2019-08-23 07:20:19,제주특별자치도,제주시,
50,하나로마트노형점,"제주특별자치도 제주시 월광로 77""",33.48766119327324,126.46767812498987,true,['투명 페트'],"['NCAE1908003', 'NCAE1908007']","['NCAE1908003', 'NCAE1908007']",2019-08-23 07:20:35,제주특별자치도,제주시,
51,제주시 성판악 등산로 클린하우스,"제주특별자치도 제주시 조천읍 516로 1865""",33.384503474730415,126.61929057380092,true,['투명 페트'],"['NCAE1908004', 'NCAE1908006']","['NCAE1908004', 'NCAE1908006']",2019-08-23 07:20:47,제주특별자치도,제주시,
55,강서구청,"서울특별시 강서구 화곡로 302""",37.5509646154307,126.849533759513,true,"['캔', '투명 페트']",['NCAG1909001'],['NCAG1909001'],2019-09-27 01:43:30,서울특별시,,
56,강서구민회관,"서울특별시 강서구 우장산로 66 강서구민회관""",37.5535715,126.8433474,true,"['캔', '투명 페트']",['NCAG1909002'],['NCAG1909002'],2019-09-27 01:43:54,서울특별시,,
57,가양레포츠센터,"서울특별시 강서구 가양동 1493""",37.5596943,126.865198,true,"['캔', '투명 페트']","['NCAG1909003', 'NCAG1909004']","['NCAG1909003', 'NCAG1909004']",2019-09-27 01:44:22,서울특별시,,
60,국사봉중학교(포인트 적립 불가),"서울특별시 동작구 양녕로20길 20 국사봉중학교""",37.493623,126.9441019,true,"['캔', '투명 페트']",['NCAG1909007'],['NCAG1909007'],2019-09-27 01:46:48,서울특별시,,
61,세븐일레븐롯데월드몰수족관점,"서울특별시 송파구 올림픽로 300 롯데월드몰 지하 1층 GATE20""",37.5134981,127.1040702,true,"['캔', '투명 페트']","['NCAG1909008', 'NCAG1909009']","['NCAG1909008', 'NCAG1909009']",2019-09-27 01:47:10,서울특별시,,
62,세븐일레븐 도선카페점,서울특별시 성동구 왕십리로 326,37.5628379,127.0340538,true,"['캔', '투명 페트']",['NCAG1909010'],['NCAG1909010'],2019-09-27 01:48:00,서울특별시,,
71,대학동주민센터,"서울특별시 관악구 신림로 111 대학동주민센터""",37.4706113,126.9369739,true,"['캔', '투명 페트']",['NCAG2001005'],['NCAG2001005'],2020-01-14 06:10:57,서울특별시,,
72,드림스타트센터,"전라남도 광양시 정수2길 47 광영동사무소""",34.9628962,127.7219827,true,"['캔', '투명 페트']",['NCAG2001006'],['NCAG2001006'],2020-01-14 06:11:12,전라남도,,
73,백운쇼핑센터,"전라남도 광양시 폭포사랑길 99""",34.9402886,127.7322355,true,"['캔', '투명 페트']",['NCAG2001007'],['NCAG2001007'],2020-01-14 06:11:24,전라남도,,
74,중마동주민센터,"전라남도 광양시 중마중앙로 119 중마동사무소""",34.9410142,127.6976752,true,"['캔', '투명 페트']",['NCAG2001008'],['NCAG2001008'],2020-01-14 06:11:38,전라남도,,
75,광양읍사무소,"전라남도 광양시 광양읍 남등길 6 광양읍사무소""",34.9733971,127.5810568,true,"['캔', '투명 페트']","['NCAG2001009', 'NCAG2110005']","['NCAG2001009', 'NCAG2110005']",2020-01-14 06:11:51,전라남도,,
77,선원공원,"전라남도 여수시 무선 7길""",34.773792,127.6510397,true,"['캔', '투명 페트']","['NCAG2003001', 'NCAG2003004']","['NCAG2003001', 'NCAG2003004']",2020-05-01 02:51:04,전라남도,,
78,소호요트경기장,전라남도 여수시 소호동,34.7387836,127.650754,true,"['캔', '투명 페트']",['NCAG2003002'],['NCAG2003002'],2020-05-01 02:51:39,전라남도,,
