idx,name,address,latitude,longitude,is_shown_user,input_wastes,devices,display_devices,reg_at
3,업사이클에코센터,"인천광역시 미추홀구 매소홀로290번길 7"",""region_1"":""인천광역시"",""region_2"":"""",""image_url"":""",37.4432153,126.6553661,true,"['캔', '투명 페트']",['NCAB1711007'],['NCAB1711007'],2018-02-06 00:24:21
4,임오동주민센터,"경상북도 구미시 임은길 61 임오동사무소"",""region_1"":""경상북도"",""region_2"":"""",""image_url"":""https://superbin-web.s3.ap-northeast-2.amazonaws.com/location/1672885036586_경북 구미시_임오동주민센터.jpg",36.0892718,128.3692414,true,"['캔', '투명 페트']",['NCAB1711006'],['NCAB1711006'],2018-02-06 03:16:48
5,상모사곡동주민센터,"경상북도 구미시 상사서로 199 상모사곡동사무소"",""region_1"":""경상북도"",""region_2"":"""",""image_url"":""https://superbin-web.s3.ap-northeast-2.amazonaws.com/location/1672885049511_경북 구미시_상모사곡동주민센터.jpg",36.099713,128.3578956,true,"['캔', '투명 페트']",['NCAB1711005'],['NCAB1711005'],2018-02-06 03:27:38
6,형곡시립도서관,"경상북도 구미시 경은로 85 구미시립도서관"",""region_1"":""경상북도"",""region_2"":"""",""image_url"":""https://superbin-web.s3.ap-northeast-2.amazonaws.com/location/1672885059806_경북 구미시_형곡시립도서관.jpg",36.1131072,128.3361809,true,"['캔', '투명 페트']",['NCAB1711004'],['NCAB1711004'],2018-02-06 03:28:44
7,선주원남동주민센터,"경상북도 구미시 봉곡로 42 선주원남동사무소"",""region_1"":""경상북도"",""region_2"":"""",""image_url"":""https://superbin-web.s3.ap-northeast-2.amazonaws.com/location/1672885071661_경북 구미시_선주원남동주민센터.jpg",36.1425881,128.3101952,true,"['캔', '투명 페트']",['NCAB1711003'],['NCAB1711003'],2018-02-06 03:29:44
8,봉곡테마공원,"경상북도 구미시 봉곡동"",""region_1"":""경상북도"",""region_2"":"""",""image_url"":""",36.150563,128.3138658,true,"['캔', '투명 페트']",['NCAB1711002'],['NCAB1711002'],2018-02-06 03:30:26
9,원호민원봉사실,"경상북도 구미시 문장로 182"",""region_1"":""경상북도"",""region_2"":"""",""image_url"":""https://superbin-web.s3.ap-northeast-2.amazonaws.com/location/1672885094847_경북 구미시_원호민원봉사실.jpg",36.1496101,128.3310628,true,"['캔', '투명 페트']",['NCAB1711001'],['NCAB1711001'],2018-02-06 03:31:03
10,휴먼시아아파트,"경상북도 의성군 의성읍 동서1길 114 상리휴먼시아"",""region_1"":""경상북도"",""region_2"":"""",""image_url"":""",36.3501295,128.7082619,true,"['캔', '투명 페트']",['NCAC1803003'],['NCAC1803003'],2018-03-14 06:24:55
11,의성초등학교,"경상북도 의성군 의성읍 후죽리 530-1"",""region_1"":""경상북도"",""region_2"":"""",""image_url"":""",36.3520845,128.6955267,true,"['캔', '투명 페트']",['NCAC1804002'],['NCAC1804002'],2018-04-19 08:59:25
13,어름수변공원,"충청남도 당진시 대덕동 1809"",""region_1"":""충청남도"",""region_2"":""당진시"",""region_3"":""대덕동"",""image_url"":""https://superbin-web.s3.ap-northeast-2.amazonaws.com/location/1680853983204_dnagjin1.jpg",36.884132188163385,126.64256395051478,true,"['캔', '투명 페트']",['NCAB1805003'],['NCAB1805003'],2018-05-29 07:41:25
18,광진광장,"서울특별시 광진구 군자동 346-42"",""region_1"":""서울특별시"",""region_2"":""광진구"",""region_3"":""군자동"",""image_url"":""https://superbin-web.s3.ap-northeast-2.amazonaws.com/location/1712537594315_g2.jpg",37.547941045783645,127.07322996009735,true,"['캔', '투명 페트']","['NCAE1807001', 'SNBI2403031']","['NCAE1807001', 'SNBI2403031']",2018-07-10 02:10:26
19,구의3동주민센터,"서울특별시 광진구 강변역로 17 구의3동 복합청사"",""region_1"":""서울특별시"",""region_2"":"""",""image_url"":""",37.5380524,127.0920163,true,"['캔', '투명 페트']",['NCAE1807004'],['NCAE1807004'],2018-07-10 02:11:25
20,사려니숲길-자판기옆,"제주특별자치도 서귀포시 표선면 가시리 산 158"",""region_1"":""제주특별자치도"",""region_2"":"""",""image_url"":""",33.395096115401486,126.68473845492254,true,['투명 페트'],['NCAE1810001'],['NCAE1810001'],2018-10-02 04:29:27
22,사려니숲길-화장실옆,"제주특별자치도 서귀포시 표선면 가시리 산 158-4"",""region_1"":""제주특별자치도"",""region_2"":"""",""image_url"":""",33.3951713343846,126.685067629425,true,['투명 페트'],['NCAE1810004'],['NCAE1810004'],2018-10-02 05:00:36
24,강동구청 성안별관,"서울특별시 강동구 성내로3가길 19"",""region_1"":""서울특별시"",""region_2"":"""",""image_url"":""https://superbin-web.s3.ap-northeast-2.amazonaws.com/location/1664959252511_서울시 강동구_강동구청 성안별관.jpg",37.530683282893,127.123965277528,true,"['캔', '투명 페트']",['NCAE1810007'],['NCAE1810007'],2018-10-02 06:53:32
25,성일초등학교,"서울특별시 강동구 성내로15길 33 성일스포츠센터 앞"",""region_1"":""서울특별시"",""region_2"":"""",""image_url"":""https://superbin-web.s3.ap-northeast-2.amazonaws.com/location/1666085414890_성일초등학교_.jpg",37.5286373,127.1284635,true,"['캔', '투명 페트']",['NCAE1810008'],['NCAE1810008'],2018-10-02 07:18:13
27,해양공원,"전라남도 여수시 종화동 526-7"",""region_1"":""전라남도"",""region_2"":""여수시"",""region_3"":""종화동"",""image_url"":""https://superbin-web.s3.ap-northeast-2.amazonaws.com/location/1692687609516_20230822_150807.jpg",34.73879483707378,127.74533819188586,true,"['캔', '투명 페트']","['NCAE1901001', 'NCAE1901010']","['NCAE1901001', 'NCAE1901010']",2019-01-30 03:32:40
28,이순신광장,"전라남도 여수시 이순신광장로"",""region_1"":""전라남도"",""region_2"":"""",""image_url"":""",34.7392178,127.7362481,true,"['캔', '투명 페트']","['NCAE1901003', 'NCAE1901005']","['NCAE1901003', 'NCAE1901005']",2019-01-30 03:34:02
29,여수시청,"전라남도 여수시 시청동1길 30"",""region_1"":""전라남도"",""region_2"":"""",""image_url"":""",34.759437,127.6633282,true,"['캔', '투명 페트']",['NCAE1901006'],['NCAE1901006'],2019-01-30 03:36:18
30,거북선공원,"전라남도 여수시 선소로 93 전기차충전소 뒷편"",""region_1"":""전라남도"",""region_2"":"""",""image_url"":""https://superbin-web.s3.ap-northeast-2.amazonaws.com/location/1661845448440_여수 거북선공원.jpg",34.7617408,127.6676801,true,"['캔', '투명 페트']","['NCAE1901007', 'NCAE1901008']","['NCAE1901007', 'NCAE1901008']",2019-01-30 03:36:55
37,망우역,"서울특별시 중랑구 상봉동 500-1"",""region_1"":""서울특별시"",""region_2"":""중랑구"",""region_3"":""상봉동"",""image_url"":""",37.59844863797278,127.09237992448901,true,"['캔', '투명 페트']","['NCAE1906003', 'NCAE1906004']","['NCAE1906003', 'NCAE1906004']",2019-06-11 02:48:34
39,고양관광정보센터,"경기도 고양시 일산동구 중앙로 1271-1"",""region_1"":""경기도"",""region_2"":"""",""image_url"":""https://superbin-web.s3.ap-northeast-2.amazonaws.com/location/1666861717066_고양.jpg",37.6594810482606,126.77269197510479,true,"['캔', '투명 페트']","['NCAE1906008', 'NCAE1906009']","['NCAE1906008', 'NCAE1906009']",2019-06-11 02:52:53
40,이수흥공원,"경기도 이천시 창전동"",""region_1"":""경기도"",""region_2"":"""",""image_url"":""",37.2823774,127.4420097,true,"['캔', '투명 페트']","['NCAE1906010', 'NCAE1906011']","['NCAE1906010', 'NCAE1906011']",2019-06-11 03:38:07
41,상무시민공원,"광주광역시 서구 치평동 1162"",""region_1"":""광주광역시"",""region_2"":""서구"",""region_3"":""치평동"",""image_url"":""",35.153570941986715,126.84218149335008,true,"['캔', '투명 페트']","['NCAE1906012', 'NCAE1906018', 'SNBI2312018']","['NCAE1906012', 'NCAE1906018', 'SNBI2312018']",2019-06-11 03:50:44
42,동내면사무소,"강원특별자치도 춘천시 동내면 동내로 78"",""region_1"":""강원특별자치도"",""region_2"":"""",""image_url"":""",37.8478551,127.7611148,true,"['캔', '투명 페트']",['NCAE1906013'],['NCAE1906013'],2019-06-11 03:50:58
43,효자1동주민센터,"강원특별자치도 춘천시 효자상길 9"",""region_1"":""강원특별자치도"",""region_2"":"""",""image_url"":""",37.8721719,127.7275698,true,"['캔', '투명 페트']",['NCAE1906014'],['NCAE1906014'],2019-06-11 03:51:13
44,춘천시청,"강원특별자치도 춘천시 시청길 11"",""region_1"":""강원특별자치도"",""region_2"":""춘천시"",""region_3"":"""",""image_url"":""https://superbin-web.s3.ap-northeast-2.amazonaws.com/location/1669171064024_강원 춘천시_춘천시청.jpg",37.8805675277616,127.7296109831504,true,"['캔', '투명 페트']",['NCAE1906015'],['NCAE1906015'],2019-06-11 03:51:33
45,신사우동주민센터,"강원특별자치도 춘천시 사우4길 28"",""region_1"":""강원특별자치도"",""region_2"":"""",""image_url"":""https://superbin-web.s3.ap-northeast-2.amazonaws.com/location/1669252238391_IMG_5071.jpg",37.9059423,127.7278715,true,"['캔', '투명 페트']",['NCAE1906016'],['NCAE1906016'],2019-06-19 02:38:20
46,약사명동주민센터,"강원특별자치도 춘천시 망대길 9"",""region_1"":""강원특별자치도"",""region_2"":"""",""image_url"":""https://superbin-web.s3.ap-northeast-2.amazonaws.com/location/1669170867274_강원 춘천시_약사명동행정복지센터.jpg",37.8765662,127.7248152,true,"['캔', '투명 페트']",['NCAE1906017'],['NCAE1906017'],2019-06-19 02:38:53
47,낙성대동주민센터,"서울특별시 관악구 낙성대로4가길 5 낙성대동주민센터"",""region_1"":""서울특별시"",""region_2"":"""",""image_url"":""",37.4762949,126.9583967,true,"['캔', '투명 페트']",['NCAE1906019'],['NCAE1906019'],2019-06-19 02:39:58
48,하나로마트일도점,"제주특별자치도 제주시 남광로 206"",""region_1"":""제주특별자치도"",""region_2"":""제주시"",""region_3"":"""",""image_url"":""https://superbin-web.s3.ap-northeast-2.amazonaws.com/location/1712199081182_하나로마트일도점.jpg",33.503761567786505,126.55268786362696,true,['투명 페트'],"['NCAE1908008', 'NCAG2104026']","['NCAE1908008', 'NCAG2104026']",2019-08-23 07:20:07
49,관음사 야영장 클린하우스 안,"제주특별자치도 제주시 산록북로 588"",""region_1"":""제주특별자치도"",""region_2"":""제주시"",""region_3"":"""",""image_url"":""https://superbin-web.s3.ap-northeast-2.amazonaws.com/location/1712198359832_관음사 야영장클린하우스 안.jpg",33.421520407832126,126.54969635640781,true,['투명 페트'],"['NCAE1908002', 'NCAE1908005']","['NCAE1908002', 'NCAE1908005']",2019-08-23 07:20:19
